img_num,img_type,distortion_type,distortion_degree,response
4,0,1,3,2
2,0,1,2,1
5,0,0,5,1
1,0,0,1,1
7,1,1,4,3
1,0,1,1,2
6,0,1,3,1
9,1,0,5,4
5,0,1,4,1
1,0,0,3,2
5,0,1,3,1
6,1,0,3,4
7,1,0,5,4
5,1,1,2,4
11,0,1,1,3
10,0,1,5,2
2,1,0,1,4
8,0,0,2,4
6,1,0,5,4
6,1,1,3,4
3,0,1,2,2
3,0,1,5,2
9,0,0,3,1
5,0,0,1,1
4,1,1,2,4
2,0,1,3,1
2,1,1,1,1
4,1,1,3,4
8,1,0,1,4
1,1,1,5,4
4,0,1,1,3
4,1,1,5,4
4,1,0,1,4
8,1,1,2,4
2,0,0,3,1
8,1,1,3,4
9,1,1,5,4
2,0,0,5,1
4,0,0,5,3
8,1,0,2,5
11,1,0,2,5
6,0,0,3,2
7,0,0,4,1
1,1,1,4,5
8,0,0,4,5
11,1,1,2,5
9,1,1,2,5
3,1,1,4,5
4,1,0,5,5
6,1,0,4,5
5,1,1,3,5
4,0,0,1,3
1,1,0,4,5
2,1,1,2,5
1,0,1,3,1
11,0,0,3,5
11,1,0,4,5
7,1,1,3,3
11,1,1,1,5
4,0,0,2,3
3,1,1,3,5
11,0,0,5,1
8,0,0,3,5
8,1,0,5,5
1,1,1,1,5
9,1,0,2,5
6,1,1,2,5
9,0,0,4,2
2,1,1,5,5
1,1,0,5,5
4,0,1,5,5
3,1,0,2,5
7,1,0,3,5
3,0,0,3,5
4,1,1,4,5
3,1,1,1,5
7,1,0,1,5
11,0,1,3,1
10,0,0,3,2
11,1,0,3,5
2,1,0,3,5
10,0,1,1,1
4,1,0,4,5
4,1,1,1,5
8,0,0,1,4
5,0,0,3,1
7,0,1,3,1
8,1,1,1,5
9,0,0,5,2
7,0,0,3,2
5,1,0,4,5
4,1,0,3,5
3,1,0,1,5
9,1,1,4,5
10,1,0,2,5
9,1,1,3,5
10,1,0,1,5
10,0,1,3,5
8,0,0,5,5
10,1,1,4,5
9,1,0,3,5
3,0,1,3,5
3,1,0,4,5
11,1,1,5,5
8,0,1,3,5
6,0,1,5,5
9,0,1,5,5
5,1,1,5,5
9,0,1,4,1
2,0,1,4,1
6,0,1,2,1
2,0,1,1,1
7,1,1,1,1
10,0,0,1,1
5,1,0,3,5
3,0,1,1,3
3,1,0,3,5
2,0,0,1,1
7,0,0,5,1
2,0,1,5,1
7,0,0,2,1
1,0,1,2,1
2,1,1,3,1
11,0,1,5,1
2,1,0,2,5
8,0,1,1,4
7,0,1,5,4
11,1,0,1,5
2,0,0,2,1
5,0,1,1,1
5,1,1,1,1
3,0,1,4,1
10,1,0,4,5
1,1,1,3,5
3,0,0,5,4
10,1,1,2,5
1,1,0,3,5
1,0,1,4,1
3,0,0,4,4
9,0,0,1,4
1,0,1,5,4
2,1,0,5,4
11,0,0,4,1
8,1,1,4,5
6,1,0,2,5
1,1,0,1,5
3,0,0,1,2
8,0,1,4,4
8,0,1,5,4
10,0,0,5,1
8,1,0,3,5
5,1,0,1,5
5,1,1,4,5
10,1,1,5,5
7,1,1,5,5
11,1,0,5,5
6,0,1,1,2
5,0,0,4,1
10,0,0,2,1
11,0,1,4,1
6,0,0,2,1
5,1,0,5,5
7,0,1,2,2
7,0,1,1,2
8,1,0,4,5
10,1,0,5,5
10,0,1,2,2
6,0,0,4,2
4,0,1,4,2
9,0,1,1,2
11,1,1,3,5
7,1,0,2,2
10,1,1,3,5
11,0,1,2,2
4,1,0,2,5
6,1,1,1,2
10,0,1,4,2
7,1,1,2,2
3,1,0,5,5
5,0,1,5,1
1,0,0,2,1
8,1,1,5,5
9,0,1,3,2
2,0,0,4,1
4,0,0,3,4
6,0,1,4,3
9,1,0,4,5
11,0,0,2,2
10,1,0,3,5
7,1,0,4,3
6,1,0,1,5
5,1,0,2,5
2,1,1,4,5
11,1,1,4,5
9,0,1,2,2
6,1,1,5,5
11,0,0,1,2
5,0,0,2,1
3,1,1,5,2
1,0,0,5,5
7,0,0,1,1
10,0,0,4,1
3,0,0,2,1
1,1,0,2,5
10,1,1,1,5
8,0,1,2,5
4,0,0,4,3
5,0,1,2,1
6,0,0,5,1
9,1,0,1,5
4,0,1,2,3
3,1,1,2,5
1,0,0,4,2
2,1,0,4,5
6,1,1,4,4
9,0,0,2,2
6,0,0,1,2
1,1,1,2,5
7,0,1,4,1
9,1,1,1,4
